id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1597949548407975936,1597949548407975936,2022-11-30 16:43:55 MSK,2022-11-30,16:43:55,+0300,153812887,medvedevrussia,Дмитрий Медведев,,"Неистовая тётка Урсула сообщила миру о «стотысячных потерях» ВСУ в своём твиттере. Сообщение потёрли и отредактировали. Очевидно, что тётушке прилетело по голове из вашингтонского обкома. Прилетело, похоже, больно. Выглядит крайне унизительно. Нет никакого ЕС, есть штат номер 51",ru,[],[],[],592,530,2281,[],[],https://twitter.com/MedvedevRussia/status/1597949548407975936,False,,0,,,,,,,,[],,,,
1597226683068993537,1597226683068993537,2022-11-28 16:51:30 MSK,2022-11-28,16:51:30,+0300,153812887,medvedevrussia,Дмитрий Медведев,,Украинские курильщики продолжают грезить прямыми видеовключениями из Ялты и других мест. Можно организовать такое. Прямо из СИЗО в Крыму. Хотя наиболее продвинутым получится организовать сеанс связи из «Лефортово»,ru,[],[],[],432,324,1535,[],[],https://twitter.com/MedvedevRussia/status/1597226683068993537,False,,0,,,,,,,,[],,,,
1594674822239469568,1594674822239469568,2022-11-21 15:51:19 MSK,2022-11-21,15:51:19,+0300,153812887,medvedevrussia,Дмитрий Медведев,,"На встрече с президентом Кубы Мигелем Диас-Канелем обсудили вопросы сотрудничества в области безопасности, расширение межпартийного взаимодействия, совместную работу по противодействию беспрецедентному санкционному давлению, с которым сталкиваются наши страны  https://t.co/lPIUWM6dkA",ru,[],[],['https://pbs.twimg.com/media/FiFsRPfXkAEcaDX.jpg'],224,280,990,[],[],https://twitter.com/MedvedevRussia/status/1594674822239469568,False,,1,https://pbs.twimg.com/media/FiFsRPfXkAEcaDX.jpg,,,,,,,[],,,,
1592775492381593600,1592775492381593600,2022-11-16 10:04:04 MSK,2022-11-16,10:04:04,+0300,153812887,medvedevrussia,Дмитрий Медведев,,История с украинским «ракетным ударом» по польской ферме доказывает лишь одно: Запад своей гибридной войной с Россией повышает вероятность начала войны мировой.,ru,[],[],[],884,333,1652,[],[],https://twitter.com/MedvedevRussia/status/1592775492381593600,False,,0,,,,,,,,[],,,,
1586041592384659456,1586041586492002304,2022-10-28 20:05:57 MSK,2022-10-28,20:05:57,+0300,153812887,medvedevrussia,Дмитрий Медведев,,"Либо сказать, чтобы они подтёрлись своим поганым расчётом. Известно, что из-за санкций туалетная бумага в ЕС сильно подорожала.",ru,[],[],[],252,148,1136,[],[],https://twitter.com/MedvedevRussia/status/1586041592384659456,False,,0,,,,,,,,[],,,,
1586041589259960320,1586041586492002304,2022-10-28 20:05:56 MSK,2022-10-28,20:05:56,+0300,153812887,medvedevrussia,Дмитрий Медведев,,"Либо подготовить им счёт «за всё», что СССР передал Польше в период социализма. А это сотни миллиардов долларов.",ru,[],[],[],126,122,1003,[],[],https://twitter.com/MedvedevRussia/status/1586041589259960320,False,,0,,,,,,,,[],,,,
1586041586492002304,1586041586492002304,2022-10-28 20:05:56 MSK,2022-10-28,20:05:56,+0300,153812887,medvedevrussia,Дмитрий Медведев,,"На польских дегенератов из МИДа, требующих от России компенсации «военных потерь», можно реагировать двояко.",ru,[],[],[],551,358,1755,[],[],https://twitter.com/MedvedevRussia/status/1586041586492002304,False,,0,,,,,,,,[],,,,
1556937444083236866,1556937444083236866,2022-08-09 12:36:27 MSK,2022-08-09,12:36:27,+0300,153812887,medvedevrussia,Дмитрий Медведев,,"После украинского ковёрного очередную нацистскую  хрень в адрес граждан России выдала и эстонская тётка: «Посещение Европы – это привилегия, а не право человека».  Так и хочется ей напомнить другие слова: «То, что вы на свободе, не ваша заслуга, а наша недоработка».",ru,[],[],[],2534,578,2500,[],[],https://twitter.com/MedvedevRussia/status/1556937444083236866,False,,0,,,,,,,,[],,,,
1556897410412150788,1556897410412150788,2022-08-09 09:57:23 MSK,2022-08-09,09:57:23,+0300,153812887,medvedevrussia,Дмитрий Медведев,,Главный украинский клоун предложил «призвать к ответственности всё население России». Последний раз такие идеи в отношении целого народа пытался реализовать Адольф Гитлер. Есть ещё вопросы о природе украинской власти?,ru,[],[],[],1241,508,2143,[],[],https://twitter.com/MedvedevRussia/status/1556897410412150788,False,,0,,,,,,,,[],,,,
1539567900998209536,1539567900998209536,2022-06-22 14:16:06 MSK,2022-06-22,14:16:06,+0300,153812887,medvedevrussia,Дмитрий Медведев,,Вечная память погибшим за Родину  https://t.co/euYfbQLoeW,ru,[],[],[],1137,181,940,[],[],https://twitter.com/MedvedevRussia/status/1539567900998209536,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1539567707435188224/pu/img/_B6cB8qyEQ4Oo5a_.jpg,,,,,,,[],,,,
